name,age,keyword,is_crawled,scrawled_count,detected,detected_count
Đỗ Thanh Bình,56,Đại biểu quốc hội Đỗ Thanh Bình,True,43,True,303
Dương Thanh Bình,61,Đại biểu quốc hội Dương Thanh Bình,True,65,True,404
Hà Thọ Bình,54,Đại biểu quốc hội Hà Thọ Bình,True,49,True,352
Hoàng Văn Bình,52,Đại biểu quốc hội Hoàng Văn Bình,True,31,True,225
Nguyễn Hòa Bình,65,Đại biểu quốc hội Nguyễn Hòa Bình,True,27,True,165
Phạm Phú Bình,50,Đại biểu quốc hội Phạm Phú Bình,True,42,True,285
Phan Thái Bình,48,Đại biểu quốc hội Phan Thái Bình,True,37,True,166
Thạch Phước Bình,44,Đại biểu quốc hội Thạch Phước Bình,True,56,True,518
Trịnh Minh Bình,45,Đại biểu quốc hội Trịnh Minh Bình,True,40,True,239
Nguyễn Thanh Cầm,47,Đại biểu quốc hội Nguyễn Thanh Cầm,True,45,True,286
Nguyễn Văn Cảnh,45,Đại biểu quốc hội Nguyễn Văn Cảnh,True,23,True,338
Chau Chắc,52,Đại biểu quốc hội Chau Chắc,True,51,True,378
Bùi Minh Châu,61,Đại biểu quốc hội Bùi Minh Châu,True,55,True,590
Đặng Minh Châu,66,Đại biểu quốc hội Đặng Minh Châu,True,51,True,299
Lê Tiến Châu,53,Đại biểu quốc hội Lê Tiến Châu,True,61,True,605
Tô Thị Bích Châu,54,Đại biểu quốc hội Tô Thị Bích Châu,True,65,True,320
Nguyễn Vân Chi,56,Đại biểu quốc hội Nguyễn Vân Chi,True,35,True,271
Đỗ Văn Chiến,60,Đại biểu quốc hội Đỗ Văn Chiến,True,51,True,262
Hoàng Hữu Chiến,56,Đại biểu quốc hội Hoàng Hữu Chiến,True,29,True,173
Hoàng Duy Chinh,54,Đại biểu quốc hội Hoàng Duy Chinh,True,33,True,234
Phạm Thúy Chinh,53,Đại biểu quốc hội Phạm Thúy Chinh,True,44,True,309
Hoàng Đức Chính,42,Đại biểu quốc hội Hoàng Đức Chính,True,47,True,253
Nguyễn Hữu Chính,59,Đại biểu quốc hội Nguyễn Hữu Chính,True,52,True,439
Phạm Minh Chính,64,Đại biểu quốc hội Phạm Minh Chính,True,60,True,243
Lê Quốc Chỉnh,54,Đại biểu quốc hội Lê Quốc Chỉnh,True,39,True,276
Lê Minh Chuẩn,58,Đại biểu quốc hội Lê Minh Chuẩn,True,55,True,230
Cầm Hà Chung,47,Đại biểu quốc hội Cầm Hà Chung,True,34,True,225
Huỳnh Thành Chung,54,Đại biểu quốc hội Huỳnh Thành Chung,True,55,True,444
Thái Thị An Chung,49,Đại biểu quốc hội Thái Thị An Chung,True,34,True,180
Trần Đình Chung,55,Đại biểu quốc hội Trần Đình Chung,True,47,True,340
Vũ Thanh Chương,55,Đại biểu quốc hội Vũ Thanh Chương,True,27,True,256
Hoàng Anh Công,52,Đại biểu quốc hội Hoàng Anh Công,True,42,True,233
Nguyễn Thành Công,39,Đại biểu quốc hội Nguyễn Thành Công,True,34,True,199
Trương Xuân Cừ,62,Đại biểu quốc hội Trương Xuân Cừ,True,54,True,306
Chá A Của,48,Đại biểu quốc hội Chá A Của,True,43,True,212
Nguyễn Tân Cương,57,Đại biểu quốc hội Nguyễn Tân Cương,True,40,True,216
Bùi Văn Cường,58,Đại biểu quốc hội Bùi Văn Cường,True,66,True,186
Hoàng Văn Cường,60,Đại biểu quốc hội Hoàng Văn Cường,True,35,True,156
Lê Văn Cường,44,Đại biểu quốc hội Lê Văn Cường,True,38,True,180
Lương Văn Cường,65,Đại biểu quốc hội Lương Văn Cường,True,27,True,239
Ngô Chí Cường,55,Đại biểu quốc hội Ngô Chí Cường,True,35,True,209
Nguyễn Mạnh Cường,56,Đại biểu quốc hội Nguyễn Mạnh Cường,True,70,True,571
Nguyễn Phú Cường,56,Đại biểu quốc hội Nguyễn Phú Cường,True,50,True,268
Quản Minh Cường,54,Đại biểu quốc hội Quản Minh Cường,True,28,True,130
Trần Chí Cường,50,Đại biểu quốc hội Trần Chí Cường,True,38,True,193
Nguyễn Hữu Đàn,49,Đại biểu quốc hội Nguyễn Hữu Đàn,True,44,True,269
Ngô Thanh Danh,57,Đại biểu quốc hội Ngô Thanh Danh,True,36,True,143
Nguyễn Văn Danh,60,Đại biểu quốc hội Nguyễn Văn Danh,True,27,True,230
Nguyễn Văn Dành,56,Đại biểu quốc hội Nguyễn Văn Dành,True,35,True,355
Châu Quỳnh Dao,46,Đại biểu quốc hội Châu Quỳnh Dao,True,29,True,246
Lê Quang Đạo,52,Đại biểu quốc hội Lê Quang Đạo,True,31,True,220
Nguyễn Xuân Dắt,56,Đại biểu quốc hội Nguyễn Xuân Dắt,True,47,True,325
Phạm Thị Hồng Diễm,44,Đại biểu quốc hội Phạm Thị Hồng Diễm,True,56,True,166
Triệu Thị Ngọc Diễm,38,Đại biểu quốc hội Triệu Thị Ngọc Diễm,True,48,True,281
Nguyễn Hồng Diên,58,Đại biểu quốc hội Nguyễn Hồng Diên,True,58,True,282
Đàm Minh Diện,53,Đại biểu quốc hội Đàm Minh Diện,True,40,True,378
Hoàng Ngọc Định,49,Đại biểu quốc hội Hoàng Ngọc Định,True,26,True,180
Nguyễn Khắc Định,59,Đại biểu quốc hội Nguyễn Khắc Định,True,33,True,228
Lâm Văn Đoan,47,Đại biểu quốc hội Lâm Văn Đoan,True,49,True,216
Lương Quốc Đoàn,52,Đại biểu quốc hội Lương Quốc Đoàn,True,45,True,400
Hoàng Thị Đôi,46,Đại biểu quốc hội Hoàng Thị Đôi,True,55,True,448
Nguyễn Hữu Đông,50,Đại biểu quốc hội Nguyễn Hữu Đông,True,44,True,383
Trần Thị Thu Đông,53,Đại biểu quốc hội Trần Thị Thu Đông,True,40,True,278
Hà Sỹ Đồng,59,Đại biểu quốc hội Hà Sỹ Đồng,True,63,True,312
Bế Minh Đức,49,Đại biểu quốc hội Bế Minh Đức,True,38,True,437
Lưu Văn Đức,56,Đại biểu quốc hội Lưu Văn Đức,True,22,True,191
Lý Đức,53,Đại biểu quốc hội Lý Đức,True,31,True,174
Nguyễn Minh Đức,53,Đại biểu quốc hội Nguyễn Minh Đức,True,32,True,169
Đào Ngọc Dung,61,Đại biểu quốc hội Đào Ngọc Dung,True,55,True,302
Đinh Thị Ngọc Dung,37,Đại biểu quốc hội Đinh Thị Ngọc Dung,True,38,True,259
Nguyễn Thị Thu Dung,53,Đại biểu quốc hội Nguyễn Thị Thu Dung,True,50,True,367
Phan Thị Mỹ Dung,48,Đại biểu quốc hội Phan Thị Mỹ Dung,True,61,True,364
Thái Quỳnh Mai Dung,46,Đại biểu quốc hội Thái Quỳnh Mai Dung,True,27,True,118
Đinh Tiến Dũng,62,Đại biểu quốc hội Đinh Tiến Dũng,True,67,True,304
Đinh Việt Dũng,50,Đại biểu quốc hội Đinh Việt Dũng,True,36,True,185
Hoàng Trung Dũng,52,Đại biểu quốc hội Hoàng Trung Dũng,True,41,True,366
Khuất Việt Dũng,64,Đại biểu quốc hội Khuất Việt Dũng,True,54,True,444
Lê Văn Dũng,56,Đại biểu quốc hội Lê Văn Dũng,True,53,True,317
Nguyễn Chí Dũng,62,Đại biểu quốc hội Nguyễn Chí Dũng,True,59,True,285
Nguyễn Đức Dũng,55,Đại biểu quốc hội Nguyễn Đức Dũng,True,35,True,151
Nguyễn Hải Dũng,55,Đại biểu quốc hội Nguyễn Hải Dũng,True,35,True,143
Phan Xuân Dũng,63,Đại biểu quốc hội Phan Xuân Dũng,True,70,True,378
Nguyễn Văn Dương,55,Đại biểu quốc hội Nguyễn Văn Dương,True,33,True,131
Phạm Đại Dương,49,Đại biểu quốc hội Phạm Đại Dương,True,33,True,220
Tráng A Dương,46,Đại biểu quốc hội Tráng A Dương,True,53,True,230
Đỗ Đức Duy,53,Đại biểu quốc hội Đỗ Đức Duy,True,49,True,140
Nguyễn Quốc Duyệt,55,Đại biểu quốc hội Nguyễn Quốc Duyệt,True,34,True,186
Trần Đình Gia,53,Đại biểu quốc hội Trần Đình Gia,True,55,True,486
Nguyễn Trường Giang,51,Đại biểu quốc hội Nguyễn Trường Giang,True,45,True,241
Phan Văn Giang,62,Đại biểu quốc hội Phan Văn Giang,True,53,True,472
Tao Văn Giót,32,Đại biểu quốc hội Tao Văn Giót,True,47,True,318
Rơ Châm H′Phik,44,Đại biểu quốc hội Rơ Châm H′Phik,True,47,True,396
Đỗ Đức Hồng Hà,53,Đại biểu quốc hội Đỗ Đức Hồng Hà,True,34,True,239
Đỗ Thị Việt Hà,44,Đại biểu quốc hội Đỗ Thị Việt Hà,True,39,True,139
Lê Thị Hà,54,Đại biểu quốc hội Lê Thị Hà,True,39,True,242
Lò Thị Việt Hà,45,Đại biểu quốc hội Lò Thị Việt Hà,True,48,True,333
Nguyễn Thị Hà,32,Đại biểu quốc hội Nguyễn Thị Hà,True,29,True,119
Nguyễn Thị Phú Hà,51,Đại biểu quốc hội Nguyễn Thị Phú Hà,True,24,True,86
Nguyễn Thị Thu Hà,53,Đại biểu quốc hội Nguyễn Thị Thu Hà,True,23,True,107
Nguyễn Thị Thu Hà,45,Đại biểu quốc hội Nguyễn Thị Thu Hà,True,0,True,0
Nguyễn Việt Hà,37,Đại biểu quốc hội Nguyễn Việt Hà,True,25,True,245
Trần Thị Nhị Hà,49,Đại biểu quốc hội Trần Thị Nhị Hà,True,61,True,442
Vũ Hải Hà,54,Đại biểu quốc hội Vũ Hải Hà,True,38,True,311
Tạ Văn Hạ,53,Đại biểu quốc hội Tạ Văn Hạ,True,54,True,186
Dương Ngọc Hải,56,Đại biểu quốc hội Dương Ngọc Hải,True,26,True,415
Lê Hoàng Hải,52,Đại biểu quốc hội Lê Hoàng Hải,True,21,True,117
Lê Khánh Hải,57,Đại biểu quốc hội Lê Khánh Hải,True,38,True,216
Lê Ngọc Hải,53,Đại biểu quốc hội Lê Ngọc Hải,True,26,True,253
Mai Văn Hải,49,Đại biểu quốc hội Mai Văn Hải,True,31,True,253
Ngô Đông Hải,52,Đại biểu quốc hội Ngô Đông Hải,True,30,True,232
Nguyễn Đức Hải,61,Đại biểu quốc hội Nguyễn Đức Hải,True,16,True,61
Nguyễn Thanh Hải,51,Đại biểu quốc hội Nguyễn Thanh Hải,True,33,True,171
Nguyễn Quốc Hận,58,Đại biểu quốc hội Nguyễn Quốc Hận,True,39,True,181
Nguyễn Văn Hận,51,Đại biểu quốc hội Nguyễn Văn Hận,True,35,True,186
Đỗ Thị Thu Hằng,52,Đại biểu quốc hội Đỗ Thị Thu Hằng,True,54,True,225
Trần Thị Thu Hằng,41,Đại biểu quốc hội Trần Thị Thu Hằng,True,33,True,194
Hà Hồng Hạnh,46,Đại biểu quốc hội Hà Hồng Hạnh,True,38,True,378
Lý Tiết Hạnh,50,Đại biểu quốc hội Lý Tiết Hạnh,True,37,True,228
Nguyễn Thị Hồng Hạnh,49,Đại biểu quốc hội Nguyễn Thị Hồng Hạnh,True,30,True,105
Đoàn Thị Hảo,56,Đại biểu quốc hội Đoàn Thị Hảo,True,49,True,527
Trần Hữu Hậu,62,Đại biểu quốc hội Trần Hữu Hậu,True,29,True,94
Đỗ Văn Hiến,53,Đại biểu quốc hội Đỗ Văn Hiến,True,40,True,272
Hoàng Thị Thu Hiền,47,Đại biểu quốc hội Hoàng Thị Thu Hiền,True,36,True,319
Đỗ Đức Hiển,45,Đại biểu quốc hội Đỗ Đức Hiển,True,47,True,346
Nguyễn Văn Hiển,49,Đại biểu quốc hội Nguyễn Văn Hiển,True,37,True,195
Phạm Như Hiệp,57,Đại biểu quốc hội Phạm Như Hiệp,True,30,True,276
Hoàng Minh Hiếu,46,Đại biểu quốc hội Hoàng Minh Hiếu,True,39,True,206
Lê Tất Hiếu,56,Đại biểu quốc hội Lê Tất Hiếu,True,43,True,374
Nguyễn Lân Hiếu,50,Đại biểu quốc hội Nguyễn Lân Hiếu,True,58,True,230
Phan Đức Hiếu,49,Đại biểu quốc hội Phan Đức Hiếu,True,28,True,101
Lê Văn Hiệu,55,Đại biểu quốc hội Lê Văn Hiệu,True,34,True,200
Mai Thị Phương Hoa,51,Đại biểu quốc hội Mai Thị Phương Hoa,True,37,True,283
Nguyễn Thị Mai Hoa,56,Đại biểu quốc hội Nguyễn Thị Mai Hoa,True,28,True,130
Phạm Văn Hòa,60,Đại biểu quốc hội Phạm Văn Hòa,True,42,True,156
Bùi Thị Minh Hoài,58,Đại biểu quốc hội Bùi Thị Minh Hoài,True,68,True,401
Lê Minh Hoan,62,Đại biểu quốc hội Lê Minh Hoan,True,45,True,171
Bùi Sỹ Hoàn,47,Đại biểu quốc hội Bùi Sỹ Hoàn,True,23,True,179
Lại Văn Hoàn,49,Đại biểu quốc hội Lại Văn Hoàn,True,28,True,184
Lê Thanh Hoàn,46,Đại biểu quốc hội Lê Thanh Hoàn,True,30,True,279
Nguyễn Công Hoàng,48,Đại biểu quốc hội Nguyễn Công Hoàng,True,19,True,175
Nguyễn Minh Hoàng,63,Đại biểu quốc hội Nguyễn Minh Hoàng,True,27,True,128
Nguyễn Chu Hồi,71,Đại biểu quốc hội Nguyễn Chu Hồi,True,45,True,109
Võ Văn Hội,52,Đại biểu quốc hội Võ Văn Hội,True,56,True,437
Hà Sỹ Huân,45,Đại biểu quốc hội Hà Sỹ Huân,True,38,True,289
Nguyễn Quang Huân,58,Đại biểu quốc hội Nguyễn Quang Huân,True,46,True,208
Lý Văn Huấn,51,Đại biểu quốc hội Lý Văn Huấn,True,31,True,256
U Huấn,43,Đại biểu quốc hội U Huấn,True,46,True,319
Nguyễn Thị Huế,39,Đại biểu quốc hội Nguyễn Thị Huế,True,31,True,249
Phạm Thị Minh Huệ,39,Đại biểu quốc hội Phạm Thị Minh Huệ,True,28,True,106
Vương Đình Huệ,66,Đại biểu quốc hội Vương Đình Huệ,True,44,True,306
Lê Mạnh Hùng,49,Đại biểu quốc hội Lê Mạnh Hùng,True,54,True,278
Lữ Văn Hùng,60,Đại biểu quốc hội Lữ Văn Hùng,True,62,True,329
Lương Văn Hùng,47,Đại biểu quốc hội Lương Văn Hùng,True,32,True,199
Nguyễn Mạnh Hùng,47,Đại biểu quốc hội Nguyễn Mạnh Hùng,True,49,True,309
Nguyễn Quốc Hùng,54,Đại biểu quốc hội Nguyễn Quốc Hùng,True,26,True,135
Nguyễn Tâm Hùng,54,Đại biểu quốc hội Nguyễn Tâm Hùng,True,17,True,98
Nguyễn Văn Hùng,62,Đại biểu quốc hội Nguyễn Văn Hùng,True,43,True,257
Triệu Thế Hùng,51,Đại biểu quốc hội Triệu Thế Hùng,True,40,True,276
Vũ Xuân Hùng,56,Đại biểu quốc hội Vũ Xuân Hùng,True,31,True,405
Lê Minh Hưng,52,Đại biểu quốc hội Lê Minh Hưng,True,49,True,395
Nguyễn Hải Hưng,57,Đại biểu quốc hội Nguyễn Hải Hưng,True,21,True,132
Đàng Thị Mỹ Hương,50,Đại biểu quốc hội Đàng Thị Mỹ Hương,True,60,True,303
Quàng Văn Hương,54,Đại biểu quốc hội Quàng Văn Hương,True,41,True,292
Siu Hương,39,Đại biểu quốc hội Siu Hương,True,73,True,410
Trần Thị Thanh Hương,52,Đại biểu quốc hội Trần Thị Thanh Hương,True,25,True,106
Vũ Thị Liên Hương,51,Đại biểu quốc hội Vũ Thị Liên Hương,True,38,True,245
Vương Thị Hương,34,Đại biểu quốc hội Vương Thị Hương,True,42,True,226
Hoàng Văn Hữu,57,Đại biểu quốc hội Hoàng Văn Hữu,True,20,True,114
Đặng Ngọc Huy,47,Đại biểu quốc hội Đặng Ngọc Huy,True,41,True,155
Lê Quang Huy,56,Đại biểu quốc hội Lê Quang Huy,True,33,True,289
Nguyễn Văn Huy,44,Đại biểu quốc hội Nguyễn Văn Huy,True,39,True,223
Triệu Quang Huy,49,Đại biểu quốc hội Triệu Quang Huy,True,33,True,119
Trương Quốc Huy,53,Đại biểu quốc hội Trương Quốc Huy,True,42,True,301
Triệu Thị Huyền,31,Đại biểu quốc hội Triệu Thị Huyền,True,48,True,415
Phúc Bình Niê Kdăm,39,Đại biểu quốc hội Phúc Bình Niê Kdăm,True,58,True,567
Y Thanh Hà Niê Kđăm,49,Đại biểu quốc hội Y Thanh Hà Niê Kđăm,True,49,True,302
Nguyễn Đăng Khải,56,Đại biểu quốc hội Nguyễn Đăng Khải,True,46,True,368
Trần Văn Khải,47,Đại biểu quốc hội Trần Văn Khải,True,49,True,284
Lê Văn Khảm,54,Đại biểu quốc hội Lê Văn Khảm,True,54,True,265
Nguyễn Đình Khang,56,Đại biểu quốc hội Nguyễn Đình Khang,True,33,True,259
Mai Khanh,47,Đại biểu quốc hội Mai Khanh,True,43,True,490
Đặng Quốc Khánh,46,Đại biểu quốc hội Đặng Quốc Khánh,True,62,True,278
Đỗ Huy Khánh,46,Đại biểu quốc hội Đỗ Huy Khánh,True,25,True,154
Hoàng Quốc Khánh,48,Đại biểu quốc hội Hoàng Quốc Khánh,True,27,True,117
Trần Ngọc Khánh,58,Đại biểu quốc hội Trần Ngọc Khánh,True,30,True,198
Vũ Huy Khánh,49,Đại biểu quốc hội Vũ Huy Khánh,True,25,True,131
Bùi Mạnh Khoa,51,Đại biểu quốc hội Bùi Mạnh Khoa,True,33,True,183
Phạm Thị Kiều,41,Đại biểu quốc hội Phạm Thị Kiều,True,43,True,296
Võ Văn Kim,70,Đại biểu quốc hội Võ Văn Kim,True,50,True,494
Lê Thị Thanh Lam,48,Đại biểu quốc hội Lê Thị Thanh Lam,True,26,True,178
Trần Thị Thanh Lam,43,Đại biểu quốc hội Trần Thị Thanh Lam,True,23,True,211
Chẩu Văn Lâm,56,Đại biểu quốc hội Chẩu Văn Lâm,True,62,True,412
Tô Lâm,66,Đại biểu quốc hội Tô Lâm,True,58,True,278
Trần Văn Lâm,53,Đại biểu quốc hội Trần Văn Lâm,True,29,True,96
Đặng Văn Lẫm,54,Đại biểu quốc hội Đặng Văn Lẫm,True,42,True,175
Đào Hồng Lan,51,Đại biểu quốc hội Đào Hồng Lan,True,52,True,225
Đinh Thị Phương Lan,47,Đại biểu quốc hội Đinh Thị Phương Lan,True,36,True,252
Đỗ Thị Lan,55,Đại biểu quốc hội Đỗ Thị Lan,True,28,True,95
Hoàng Thị Thúy Lan,57,Đại biểu quốc hội Hoàng Thị Thúy Lan,True,48,True,495
Lý Thị Lan,48,Đại biểu quốc hội Lý Thị Lan,True,28,True,196
Nguyễn Thị Lan,49,Đại biểu quốc hội Nguyễn Thị Lan,True,29,True,233
Phạm Khánh Phong Lan,53,Đại biểu quốc hội Phạm Khánh Phong Lan,True,52,True,168
Nguyễn Thị Lệ,55,Đại biểu quốc hội Nguyễn Thị Lệ,True,30,True,165
Sùng A Lềnh,47,Đại biểu quốc hội Sùng A Lềnh,True,45,True,247
Leo Thị Lịch,53,Đại biểu quốc hội Leo Thị Lịch,True,42,True,226
Hoàng Văn Liên,57,Đại biểu quốc hội Hoàng Văn Liên,True,22,True,210
Bố Thị Xuân Linh,53,Đại biểu quốc hội Bố Thị Xuân Linh,True,37,True,219
Cao Mạnh Linh,41,Đại biểu quốc hội Cao Mạnh Linh,True,28,True,200
Lê Thị Ngọc Linh,40,Đại biểu quốc hội Lê Thị Ngọc Linh,True,32,True,150
Vũ Tiến Lộc,63,Đại biểu quốc hội Vũ Tiến Lộc,True,51,True,195
Nguyễn Văn Lợi,61,Đại biểu quốc hội Nguyễn Văn Lợi,True,35,True,213
Lê Thành Long,59,Đại biểu quốc hội Lê Thành Long,True,30,True,278
Nguyễn Công Long,53,Đại biểu quốc hội Nguyễn Công Long,True,24,True,72
Nguyễn Thanh Long,56,Đại biểu quốc hội Nguyễn Thanh Long,True,30,True,127
Vũ Ngọc Long,51,Đại biểu quốc hội Vũ Ngọc Long,True,38,True,220
Nguyễn Quốc Luận,47,Đại biểu quốc hội Nguyễn Quốc Luận,True,9,True,54
Phan Viết Lượng,56,Đại biểu quốc hội Phan Viết Lượng,True,36,True,408
Lê Trường Lưu,60,Đại biểu quốc hội Lê Trường Lưu,True,31,True,141
Lò Thị Luyến,49,Đại biểu quốc hội Lò Thị Luyến,True,40,True,363
Vũ Hồng Luyến,40,Đại biểu quốc hội Vũ Hồng Luyến,True,39,True,380
Lưu Bá Mạc,42,Đại biểu quốc hội Lưu Bá Mạc,True,46,True,356
Âu Thị Mai,45,Đại biểu quốc hội Âu Thị Mai,True,27,True,152
Bùi Huyền Mai,47,Đại biểu quốc hội Bùi Huyền Mai,True,33,True,157
Đoàn Thị Thanh Mai,51,Đại biểu quốc hội Đoàn Thị Thanh Mai,True,30,True,204
Dương Khắc Mai,54,Đại biểu quốc hội Dương Khắc Mai,True,32,True,302
Khương Thị Mai,56,Đại biểu quốc hội Khương Thị Mai,True,29,True,196
Nguyễn Hoàng Mai,58,Đại biểu quốc hội Nguyễn Hoàng Mai,True,28,True,136
Phạm Thị Thanh Mai,47,Đại biểu quốc hội Phạm Thị Thanh Mai,True,15,True,75
Trương Thị Mai,65,Đại biểu quốc hội Trương Thị Mai,True,64,True,459
Vũ Thị Lưu Mai,50,Đại biểu quốc hội Vũ Thị Lưu Mai,True,30,True,250
Phan Văn Mãi,50,Đại biểu quốc hội Phan Văn Mãi,True,62,True,232
Cầm Thị Mẫn,52,Đại biểu quốc hội Cầm Thị Mẫn,True,41,True,224
Lâm Văn Mẫn,52,Đại biểu quốc hội Lâm Văn Mẫn,True,33,True,233
Trần Thanh Mẫn,60,Đại biểu quốc hội Trần Thanh Mẫn,True,28,True,105
Lê Quang Mạnh,49,Đại biểu quốc hội Lê Quang Mạnh,True,34,True,199
Nguyễn Văn Mạnh,45,Đại biểu quốc hội Nguyễn Văn Mạnh,True,19,True,189
Khang Thị Mào,36,Đại biểu quốc hội Khang Thị Mào,True,71,True,497
Đinh Ngọc Minh,56,Đại biểu quốc hội Đinh Ngọc Minh,True,34,True,138
Hà Đức Minh,36,Đại biểu quốc hội Hà Đức Minh,True,26,True,174
Hồ Thị Minh,46,Đại biểu quốc hội Hồ Thị Minh,True,23,True,130
Nguyễn Duy Minh,40,Đại biểu quốc hội Nguyễn Duy Minh,True,38,True,303
Phạm Bình Minh,64,Đại biểu quốc hội Phạm Bình Minh,True,36,True,213
Trần Hồng Minh,55,Đại biểu quốc hội Trần Hồng Minh,True,37,True,159
Trần Nhật Minh,53,Đại biểu quốc hội Trần Nhật Minh,True,22,True,80
Trần Quang Minh,46,Đại biểu quốc hội Trần Quang Minh,True,31,True,115
Lại Xuân Môn,59,Đại biểu quốc hội Lại Xuân Môn,True,39,True,249
Giàng Páo Mỷ,59,Đại biểu quốc hội Giàng Páo Mỷ,True,41,True,428
Lê Minh Nam,48,Đại biểu quốc hội Lê Minh Nam,True,30,True,262
Nguyễn Hải Nam,45,Đại biểu quốc hội Nguyễn Hải Nam,True,10,True,27
Nguyễn Thành Nam,56,Đại biểu quốc hội Nguyễn Thành Nam,True,15,True,81
Nguyễn Tiến Nam,55,Đại biểu quốc hội Nguyễn Tiến Nam,True,22,True,75
Trần Quốc Nam,51,Đại biểu quốc hội Trần Quốc Nam,True,31,True,260
Hà Thị Nga,54,Đại biểu quốc hội Hà Thị Nga,True,32,True,108
Huỳnh Thị Hằng Nga,40,Đại biểu quốc hội Huỳnh Thị Hằng Nga,True,37,True,254
Lê Thị Nga,58,Đại biểu quốc hội Lê Thị Nga,True,23,True,181
Nguyễn Thị Tuyết Nga,52,Đại biểu quốc hội Nguyễn Thị Tuyết Nga,True,39,True,129
Nguyễn Thị Việt Nga,46,Đại biểu quốc hội Nguyễn Thị Việt Nga,True,19,True,74
Hồ Thị Kim Ngân,45,Đại biểu quốc hội Hồ Thị Kim Ngân,True,37,True,556
Ngô Hoàng Ngân,57,Đại biểu quốc hội Ngô Hoàng Ngân,True,37,True,227
Trần Hoàng Ngân,58,Đại biểu quốc hội Trần Hoàng Ngân,True,37,True,104
Nguyễn Thị Thúy Ngần,51,Đại biểu quốc hội Nguyễn Thị Thúy Ngần,True,33,True,126
Đào Chí Nghĩa,41,Đại biểu quốc hội Đào Chí Nghĩa,True,34,True,251
Đỗ Chí Nghĩa,48,Đại biểu quốc hội Đỗ Chí Nghĩa,True,44,True,169
Nguyễn Trọng Nghĩa,61,Đại biểu quốc hội Nguyễn Trọng Nghĩa,True,44,True,147
Phạm Trọng Nghĩa,44,Đại biểu quốc hội Phạm Trọng Nghĩa,True,19,True,146
Trương Trọng Nghĩa,70,Đại biểu quốc hội Trương Trọng Nghĩa,True,27,True,156
Bùi Văn Nghiêm,56,Đại biểu quốc hội Bùi Văn Nghiêm,True,21,True,50
Hoàng Văn Nghiệm,54,Đại biểu quốc hội Hoàng Văn Nghiệm,True,15,True,73
Đặng Bích Ngọc,42,Đại biểu quốc hội Đặng Bích Ngọc,True,37,True,362
Nguyễn Thị Thúy Ngọc,40,Đại biểu quốc hội Nguyễn Thị Thúy Ngọc,True,29,True,134
Lại Thế Nguyên,53,Đại biểu quốc hội Lại Thế Nguyên,True,32,True,165
Trần Hồng Nguyên,54,Đại biểu quốc hội Trần Hồng Nguyên,True,46,True,239
Nguyễn Thị Thu Nguyệt,50,Đại biểu quốc hội Nguyễn Thị Thu Nguyệt,True,36,True,161
Quàng Thị Nguyệt,25,Đại biểu quốc hội Quàng Thị Nguyệt,True,50,True,280
Nguyễn Thiện Nhân,70,Đại biểu quốc hội Nguyễn Thiện Nhân,True,36,True,215
