name,age,keyword,is_crawled,scrawled_count
Lê Minh Chuẩn,58,Đại biểu quốc hội Lê Minh Chuẩn,True,55
Cầm Hà Chung,47,Đại biểu quốc hội Cầm Hà Chung,True,34
Huỳnh Thành Chung,54,Đại biểu quốc hội Huỳnh Thành Chung,True,55
Thái Thị An Chung,49,Đại biểu quốc hội Thái Thị An Chung,True,34
Trần Đình Chung,55,Đại biểu quốc hội Trần Đình Chung,True,47
Vũ Thanh Chương,55,Đại biểu quốc hội Vũ Thanh Chương,True,27
Hoàng Anh Công,52,Đại biểu quốc hội Hoàng Anh Công,True,42
Nguyễn Thành Công,39,Đại biểu quốc hội Nguyễn Thành Công,True,34
Trương Xuân Cừ,62,Đại biểu quốc hội Trương Xuân Cừ,True,54
Chá A Của,48,Đại biểu quốc hội Chá A Của,True,43
Nguyễn Tân Cương,57,Đại biểu quốc hội Nguyễn Tân Cương,True,40
Bùi Văn Cường,58,Đại biểu quốc hội Bùi Văn Cường,True,66
Hoàng Văn Cường,60,Đại biểu quốc hội Hoàng Văn Cường,True,35
Lê Văn Cường,44,Đại biểu quốc hội Lê Văn Cường,True,38
Lương Văn Cường,65,Đại biểu quốc hội Lương Văn Cường,True,27
Ngô Chí Cường,55,Đại biểu quốc hội Ngô Chí Cường,True,35
Nguyễn Mạnh Cường,56,Đại biểu quốc hội Nguyễn Mạnh Cường,True,70
Nguyễn Phú Cường,56,Đại biểu quốc hội Nguyễn Phú Cường,True,50
Quản Minh Cường,54,Đại biểu quốc hội Quản Minh Cường,True,28
Trần Chí Cường,50,Đại biểu quốc hội Trần Chí Cường,True,38
Nguyễn Hữu Đàn,49,Đại biểu quốc hội Nguyễn Hữu Đàn,True,44
Ngô Thanh Danh,57,Đại biểu quốc hội Ngô Thanh Danh,True,36
Nguyễn Văn Danh,60,Đại biểu quốc hội Nguyễn Văn Danh,True,27
Nguyễn Văn Dành,56,Đại biểu quốc hội Nguyễn Văn Dành,True,35
Châu Quỳnh Dao,46,Đại biểu quốc hội Châu Quỳnh Dao,True,29
Lê Quang Đạo,52,Đại biểu quốc hội Lê Quang Đạo,True,31
Nguyễn Xuân Dắt,56,Đại biểu quốc hội Nguyễn Xuân Dắt,True,47
Phạm Thị Hồng Diễm,44,Đại biểu quốc hội Phạm Thị Hồng Diễm,True,56
Triệu Thị Ngọc Diễm,38,Đại biểu quốc hội Triệu Thị Ngọc Diễm,True,48
Nguyễn Hồng Diên,58,Đại biểu quốc hội Nguyễn Hồng Diên,True,58
Đàm Minh Diện,53,Đại biểu quốc hội Đàm Minh Diện,True,40
Hoàng Ngọc Định,49,Đại biểu quốc hội Hoàng Ngọc Định,True,26
Nguyễn Khắc Định,59,Đại biểu quốc hội Nguyễn Khắc Định,True,33
Lâm Văn Đoan,47,Đại biểu quốc hội Lâm Văn Đoan,True,49
Lương Quốc Đoàn,52,Đại biểu quốc hội Lương Quốc Đoàn,True,45
Hoàng Thị Đôi,46,Đại biểu quốc hội Hoàng Thị Đôi,True,55
Nguyễn Hữu Đông,50,Đại biểu quốc hội Nguyễn Hữu Đông,True,44
Trần Thị Thu Đông,53,Đại biểu quốc hội Trần Thị Thu Đông,True,40
Hà Sỹ Đồng,59,Đại biểu quốc hội Hà Sỹ Đồng,True,63
Bế Minh Đức,49,Đại biểu quốc hội Bế Minh Đức,True,38
Lưu Văn Đức,56,Đại biểu quốc hội Lưu Văn Đức,True,22
Lý Đức,53,Đại biểu quốc hội Lý Đức,True,31
Nguyễn Minh Đức,53,Đại biểu quốc hội Nguyễn Minh Đức,True,32
Đào Ngọc Dung,61,Đại biểu quốc hội Đào Ngọc Dung,True,55
Đinh Thị Ngọc Dung,37,Đại biểu quốc hội Đinh Thị Ngọc Dung,True,38
Nguyễn Thị Thu Dung,53,Đại biểu quốc hội Nguyễn Thị Thu Dung,True,50
Phan Thị Mỹ Dung,48,Đại biểu quốc hội Phan Thị Mỹ Dung,True,61
Thái Quỳnh Mai Dung,46,Đại biểu quốc hội Thái Quỳnh Mai Dung,True,27
Đinh Tiến Dũng,62,Đại biểu quốc hội Đinh Tiến Dũng,True,67
Đinh Việt Dũng,50,Đại biểu quốc hội Đinh Việt Dũng,True,36
Hoàng Trung Dũng,52,Đại biểu quốc hội Hoàng Trung Dũng,True,41
Khuất Việt Dũng,64,Đại biểu quốc hội Khuất Việt Dũng,True,54
Lê Văn Dũng,56,Đại biểu quốc hội Lê Văn Dũng,True,53
Nguyễn Chí Dũng,62,Đại biểu quốc hội Nguyễn Chí Dũng,True,59
Nguyễn Đức Dũng,55,Đại biểu quốc hội Nguyễn Đức Dũng,True,35
Nguyễn Hải Dũng,55,Đại biểu quốc hội Nguyễn Hải Dũng,True,35
Phan Xuân Dũng,63,Đại biểu quốc hội Phan Xuân Dũng,True,70
Nguyễn Văn Dương,55,Đại biểu quốc hội Nguyễn Văn Dương,True,33
Phạm Đại Dương,49,Đại biểu quốc hội Phạm Đại Dương,True,33
Tráng A Dương,46,Đại biểu quốc hội Tráng A Dương,True,53
Đỗ Đức Duy,53,Đại biểu quốc hội Đỗ Đức Duy,True,49
Nguyễn Quốc Duyệt,55,Đại biểu quốc hội Nguyễn Quốc Duyệt,True,34
Trần Đình Gia,53,Đại biểu quốc hội Trần Đình Gia,True,55
Nguyễn Trường Giang,51,Đại biểu quốc hội Nguyễn Trường Giang,True,45
Phan Văn Giang,62,Đại biểu quốc hội Phan Văn Giang,True,53
Tao Văn Giót,32,Đại biểu quốc hội Tao Văn Giót,True,47
Rơ Châm H′Phik,44,Đại biểu quốc hội Rơ Châm H′Phik,True,47
Đỗ Đức Hồng Hà,53,Đại biểu quốc hội Đỗ Đức Hồng Hà,True,34
Đỗ Thị Việt Hà,44,Đại biểu quốc hội Đỗ Thị Việt Hà,True,39
Lê Thị Hà,54,Đại biểu quốc hội Lê Thị Hà,True,39
Lò Thị Việt Hà,45,Đại biểu quốc hội Lò Thị Việt Hà,True,48
Nguyễn Thị Hà,32,Đại biểu quốc hội Nguyễn Thị Hà,True,29
Nguyễn Thị Phú Hà,51,Đại biểu quốc hội Nguyễn Thị Phú Hà,True,24
Nguyễn Thị Thu Hà,53,Đại biểu quốc hội Nguyễn Thị Thu Hà,True,23
Nguyễn Thị Thu Hà,45,Đại biểu quốc hội Nguyễn Thị Thu Hà,True,0
Nguyễn Việt Hà,37,Đại biểu quốc hội Nguyễn Việt Hà,True,25
Trần Thị Nhị Hà,49,Đại biểu quốc hội Trần Thị Nhị Hà,True,61
Vũ Hải Hà,54,Đại biểu quốc hội Vũ Hải Hà,True,38
Tạ Văn Hạ,53,Đại biểu quốc hội Tạ Văn Hạ,True,54
Dương Ngọc Hải,56,Đại biểu quốc hội Dương Ngọc Hải,True,26
Lê Hoàng Hải,52,Đại biểu quốc hội Lê Hoàng Hải,True,21
Lê Khánh Hải,57,Đại biểu quốc hội Lê Khánh Hải,True,38
Lê Ngọc Hải,53,Đại biểu quốc hội Lê Ngọc Hải,True,26
Mai Văn Hải,49,Đại biểu quốc hội Mai Văn Hải,True,31
Ngô Đông Hải,52,Đại biểu quốc hội Ngô Đông Hải,True,30
Nguyễn Đức Hải,61,Đại biểu quốc hội Nguyễn Đức Hải,True,16
Nguyễn Thanh Hải,51,Đại biểu quốc hội Nguyễn Thanh Hải,True,33
Nguyễn Quốc Hận,58,Đại biểu quốc hội Nguyễn Quốc Hận,True,39
Nguyễn Văn Hận,51,Đại biểu quốc hội Nguyễn Văn Hận,True,35
Đỗ Thị Thu Hằng,52,Đại biểu quốc hội Đỗ Thị Thu Hằng,True,54
Trần Thị Thu Hằng,41,Đại biểu quốc hội Trần Thị Thu Hằng,True,33
Hà Hồng Hạnh,46,Đại biểu quốc hội Hà Hồng Hạnh,True,38
Lý Tiết Hạnh,50,Đại biểu quốc hội Lý Tiết Hạnh,True,37
Nguyễn Thị Hồng Hạnh,49,Đại biểu quốc hội Nguyễn Thị Hồng Hạnh,True,30
Đoàn Thị Hảo,56,Đại biểu quốc hội Đoàn Thị Hảo,True,49
Trần Hữu Hậu,62,Đại biểu quốc hội Trần Hữu Hậu,True,29
Đỗ Văn Hiến,53,Đại biểu quốc hội Đỗ Văn Hiến,True,40
Hoàng Thị Thu Hiền,47,Đại biểu quốc hội Hoàng Thị Thu Hiền,True,36
Đỗ Đức Hiển,45,Đại biểu quốc hội Đỗ Đức Hiển,True,47
Nguyễn Văn Hiển,49,Đại biểu quốc hội Nguyễn Văn Hiển,True,37
Phạm Như Hiệp,57,Đại biểu quốc hội Phạm Như Hiệp,True,30
Hoàng Minh Hiếu,46,Đại biểu quốc hội Hoàng Minh Hiếu,True,39
Lê Tất Hiếu,56,Đại biểu quốc hội Lê Tất Hiếu,True,43
Nguyễn Lân Hiếu,50,Đại biểu quốc hội Nguyễn Lân Hiếu,True,58
Phan Đức Hiếu,49,Đại biểu quốc hội Phan Đức Hiếu,True,28
Lê Văn Hiệu,55,Đại biểu quốc hội Lê Văn Hiệu,True,34
Mai Thị Phương Hoa,51,Đại biểu quốc hội Mai Thị Phương Hoa,True,37
Nguyễn Thị Mai Hoa,56,Đại biểu quốc hội Nguyễn Thị Mai Hoa,True,28
Phạm Văn Hòa,60,Đại biểu quốc hội Phạm Văn Hòa,True,42
Bùi Thị Minh Hoài,58,Đại biểu quốc hội Bùi Thị Minh Hoài,True,68
Lê Minh Hoan,62,Đại biểu quốc hội Lê Minh Hoan,True,45
Bùi Sỹ Hoàn,47,Đại biểu quốc hội Bùi Sỹ Hoàn,True,23
Lại Văn Hoàn,49,Đại biểu quốc hội Lại Văn Hoàn,True,28
Lê Thanh Hoàn,46,Đại biểu quốc hội Lê Thanh Hoàn,True,30
Nguyễn Công Hoàng,48,Đại biểu quốc hội Nguyễn Công Hoàng,True,19
Nguyễn Minh Hoàng,63,Đại biểu quốc hội Nguyễn Minh Hoàng,True,27
Nguyễn Chu Hồi,71,Đại biểu quốc hội Nguyễn Chu Hồi,True,45
Võ Văn Hội,52,Đại biểu quốc hội Võ Văn Hội,True,56
Hà Sỹ Huân,45,Đại biểu quốc hội Hà Sỹ Huân,True,38
Nguyễn Quang Huân,58,Đại biểu quốc hội Nguyễn Quang Huân,True,46
Lý Văn Huấn,51,Đại biểu quốc hội Lý Văn Huấn,True,31
U Huấn,43,Đại biểu quốc hội U Huấn,True,46
Nguyễn Thị Huế,39,Đại biểu quốc hội Nguyễn Thị Huế,True,31
Phạm Thị Minh Huệ,39,Đại biểu quốc hội Phạm Thị Minh Huệ,True,28
Vương Đình Huệ,66,Đại biểu quốc hội Vương Đình Huệ,True,44
Lê Mạnh Hùng,49,Đại biểu quốc hội Lê Mạnh Hùng,True,54
Lữ Văn Hùng,60,Đại biểu quốc hội Lữ Văn Hùng,True,62
Lương Văn Hùng,47,Đại biểu quốc hội Lương Văn Hùng,True,32
Nguyễn Mạnh Hùng,47,Đại biểu quốc hội Nguyễn Mạnh Hùng,True,49
Nguyễn Quốc Hùng,54,Đại biểu quốc hội Nguyễn Quốc Hùng,True,26
Nguyễn Tâm Hùng,54,Đại biểu quốc hội Nguyễn Tâm Hùng,True,17
Nguyễn Văn Hùng,62,Đại biểu quốc hội Nguyễn Văn Hùng,True,43
Triệu Thế Hùng,51,Đại biểu quốc hội Triệu Thế Hùng,True,40
Vũ Xuân Hùng,56,Đại biểu quốc hội Vũ Xuân Hùng,True,31
Lê Minh Hưng,52,Đại biểu quốc hội Lê Minh Hưng,True,49
Nguyễn Hải Hưng,57,Đại biểu quốc hội Nguyễn Hải Hưng,True,21
Đàng Thị Mỹ Hương,50,Đại biểu quốc hội Đàng Thị Mỹ Hương,True,60
Quàng Văn Hương,54,Đại biểu quốc hội Quàng Văn Hương,True,41
Siu Hương,39,Đại biểu quốc hội Siu Hương,True,73
Trần Thị Thanh Hương,52,Đại biểu quốc hội Trần Thị Thanh Hương,True,25
Vũ Thị Liên Hương,51,Đại biểu quốc hội Vũ Thị Liên Hương,True,38
Vương Thị Hương,34,Đại biểu quốc hội Vương Thị Hương,True,42
Hoàng Văn Hữu,57,Đại biểu quốc hội Hoàng Văn Hữu,True,20
Đặng Ngọc Huy,47,Đại biểu quốc hội Đặng Ngọc Huy,True,41
Lê Quang Huy,56,Đại biểu quốc hội Lê Quang Huy,True,33
Nguyễn Văn Huy,44,Đại biểu quốc hội Nguyễn Văn Huy,True,39
Triệu Quang Huy,49,Đại biểu quốc hội Triệu Quang Huy,True,33
Trương Quốc Huy,53,Đại biểu quốc hội Trương Quốc Huy,True,42
Triệu Thị Huyền,31,Đại biểu quốc hội Triệu Thị Huyền,True,48
Phúc Bình Niê Kdăm,39,Đại biểu quốc hội Phúc Bình Niê Kdăm,True,58
Y Thanh Hà Niê Kđăm,49,Đại biểu quốc hội Y Thanh Hà Niê Kđăm,True,49
Nguyễn Đăng Khải,56,Đại biểu quốc hội Nguyễn Đăng Khải,True,46
Trần Văn Khải,47,Đại biểu quốc hội Trần Văn Khải,True,49
Lê Văn Khảm,54,Đại biểu quốc hội Lê Văn Khảm,True,54
Nguyễn Đình Khang,56,Đại biểu quốc hội Nguyễn Đình Khang,True,33
Mai Khanh,47,Đại biểu quốc hội Mai Khanh,True,43
Đặng Quốc Khánh,46,Đại biểu quốc hội Đặng Quốc Khánh,True,62
Đỗ Huy Khánh,46,Đại biểu quốc hội Đỗ Huy Khánh,True,25
Hoàng Quốc Khánh,48,Đại biểu quốc hội Hoàng Quốc Khánh,True,27
Trần Ngọc Khánh,58,Đại biểu quốc hội Trần Ngọc Khánh,True,30
Vũ Huy Khánh,49,Đại biểu quốc hội Vũ Huy Khánh,True,25
Bùi Mạnh Khoa,51,Đại biểu quốc hội Bùi Mạnh Khoa,True,33
Phạm Thị Kiều,41,Đại biểu quốc hội Phạm Thị Kiều,True,43
Võ Văn Kim,70,Đại biểu quốc hội Võ Văn Kim,True,50
Lê Thị Thanh Lam,48,Đại biểu quốc hội Lê Thị Thanh Lam,True,26
Trần Thị Thanh Lam,43,Đại biểu quốc hội Trần Thị Thanh Lam,True,23
Chẩu Văn Lâm,56,Đại biểu quốc hội Chẩu Văn Lâm,True,62
Tô Lâm,66,Đại biểu quốc hội Tô Lâm,True,58
Trần Văn Lâm,53,Đại biểu quốc hội Trần Văn Lâm,True,29
Đặng Văn Lẫm,54,Đại biểu quốc hội Đặng Văn Lẫm,True,42
Đào Hồng Lan,51,Đại biểu quốc hội Đào Hồng Lan,True,52
Đinh Thị Phương Lan,47,Đại biểu quốc hội Đinh Thị Phương Lan,True,36
Đỗ Thị Lan,55,Đại biểu quốc hội Đỗ Thị Lan,True,28
Hoàng Thị Thúy Lan,57,Đại biểu quốc hội Hoàng Thị Thúy Lan,True,48
Lý Thị Lan,48,Đại biểu quốc hội Lý Thị Lan,True,28
Nguyễn Thị Lan,49,Đại biểu quốc hội Nguyễn Thị Lan,True,29
Phạm Khánh Phong Lan,53,Đại biểu quốc hội Phạm Khánh Phong Lan,True,52
Nguyễn Thị Lệ,55,Đại biểu quốc hội Nguyễn Thị Lệ,True,30
Sùng A Lềnh,47,Đại biểu quốc hội Sùng A Lềnh,True,45
Leo Thị Lịch,53,Đại biểu quốc hội Leo Thị Lịch,True,42
Hoàng Văn Liên,57,Đại biểu quốc hội Hoàng Văn Liên,True,22
Bố Thị Xuân Linh,53,Đại biểu quốc hội Bố Thị Xuân Linh,True,37
Cao Mạnh Linh,41,Đại biểu quốc hội Cao Mạnh Linh,True,28
Lê Thị Ngọc Linh,40,Đại biểu quốc hội Lê Thị Ngọc Linh,True,32
Vũ Tiến Lộc,63,Đại biểu quốc hội Vũ Tiến Lộc,True,51
Nguyễn Văn Lợi,61,Đại biểu quốc hội Nguyễn Văn Lợi,True,35
Lê Thành Long,59,Đại biểu quốc hội Lê Thành Long,True,30
Nguyễn Công Long,53,Đại biểu quốc hội Nguyễn Công Long,True,24
Nguyễn Thanh Long,56,Đại biểu quốc hội Nguyễn Thanh Long,True,30
Vũ Ngọc Long,51,Đại biểu quốc hội Vũ Ngọc Long,True,38
Nguyễn Quốc Luận,47,Đại biểu quốc hội Nguyễn Quốc Luận,True,9
Phan Viết Lượng,56,Đại biểu quốc hội Phan Viết Lượng,True,36
Lê Trường Lưu,60,Đại biểu quốc hội Lê Trường Lưu,True,31
Lò Thị Luyến,49,Đại biểu quốc hội Lò Thị Luyến,True,40
Vũ Hồng Luyến,40,Đại biểu quốc hội Vũ Hồng Luyến,True,39
Lưu Bá Mạc,42,Đại biểu quốc hội Lưu Bá Mạc,True,46
Âu Thị Mai,45,Đại biểu quốc hội Âu Thị Mai,True,27
Bùi Huyền Mai,47,Đại biểu quốc hội Bùi Huyền Mai,True,33
Đoàn Thị Thanh Mai,51,Đại biểu quốc hội Đoàn Thị Thanh Mai,True,30
Dương Khắc Mai,54,Đại biểu quốc hội Dương Khắc Mai,True,32
Khương Thị Mai,56,Đại biểu quốc hội Khương Thị Mai,True,29
Nguyễn Hoàng Mai,58,Đại biểu quốc hội Nguyễn Hoàng Mai,True,28
Phạm Thị Thanh Mai,47,Đại biểu quốc hội Phạm Thị Thanh Mai,True,15
Trương Thị Mai,65,Đại biểu quốc hội Trương Thị Mai,True,64
Vũ Thị Lưu Mai,50,Đại biểu quốc hội Vũ Thị Lưu Mai,True,30
Phan Văn Mãi,50,Đại biểu quốc hội Phan Văn Mãi,True,62
Cầm Thị Mẫn,52,Đại biểu quốc hội Cầm Thị Mẫn,True,41
Lâm Văn Mẫn,52,Đại biểu quốc hội Lâm Văn Mẫn,True,33
Trần Thanh Mẫn,60,Đại biểu quốc hội Trần Thanh Mẫn,True,28
Lê Quang Mạnh,49,Đại biểu quốc hội Lê Quang Mạnh,True,34
Nguyễn Văn Mạnh,45,Đại biểu quốc hội Nguyễn Văn Mạnh,True,19
Khang Thị Mào,36,Đại biểu quốc hội Khang Thị Mào,True,71
Đinh Ngọc Minh,56,Đại biểu quốc hội Đinh Ngọc Minh,True,34
Hà Đức Minh,36,Đại biểu quốc hội Hà Đức Minh,True,26
Hồ Thị Minh,46,Đại biểu quốc hội Hồ Thị Minh,True,23
Nguyễn Duy Minh,40,Đại biểu quốc hội Nguyễn Duy Minh,True,38
Phạm Bình Minh,64,Đại biểu quốc hội Phạm Bình Minh,True,36
Trần Hồng Minh,55,Đại biểu quốc hội Trần Hồng Minh,True,37
Trần Nhật Minh,53,Đại biểu quốc hội Trần Nhật Minh,True,22
Trần Quang Minh,46,Đại biểu quốc hội Trần Quang Minh,True,31
Lại Xuân Môn,59,Đại biểu quốc hội Lại Xuân Môn,True,39
Giàng Páo Mỷ,59,Đại biểu quốc hội Giàng Páo Mỷ,True,41
Lê Minh Nam,48,Đại biểu quốc hội Lê Minh Nam,True,30
Nguyễn Hải Nam,45,Đại biểu quốc hội Nguyễn Hải Nam,True,10
Nguyễn Thành Nam,56,Đại biểu quốc hội Nguyễn Thành Nam,True,15
Nguyễn Tiến Nam,55,Đại biểu quốc hội Nguyễn Tiến Nam,True,22
Trần Quốc Nam,51,Đại biểu quốc hội Trần Quốc Nam,True,31
Hà Thị Nga,54,Đại biểu quốc hội Hà Thị Nga,True,32
Huỳnh Thị Hằng Nga,40,Đại biểu quốc hội Huỳnh Thị Hằng Nga,True,37
Lê Thị Nga,58,Đại biểu quốc hội Lê Thị Nga,True,23
Nguyễn Thị Tuyết Nga,52,Đại biểu quốc hội Nguyễn Thị Tuyết Nga,True,39
Nguyễn Thị Việt Nga,46,Đại biểu quốc hội Nguyễn Thị Việt Nga,True,19
Hồ Thị Kim Ngân,45,Đại biểu quốc hội Hồ Thị Kim Ngân,True,37
Ngô Hoàng Ngân,57,Đại biểu quốc hội Ngô Hoàng Ngân,True,37
Trần Hoàng Ngân,58,Đại biểu quốc hội Trần Hoàng Ngân,True,37
Nguyễn Thị Thúy Ngần,51,Đại biểu quốc hội Nguyễn Thị Thúy Ngần,True,33
Đào Chí Nghĩa,41,Đại biểu quốc hội Đào Chí Nghĩa,True,34
Đỗ Chí Nghĩa,48,Đại biểu quốc hội Đỗ Chí Nghĩa,True,44
Nguyễn Trọng Nghĩa,61,Đại biểu quốc hội Nguyễn Trọng Nghĩa,True,44
Phạm Trọng Nghĩa,44,Đại biểu quốc hội Phạm Trọng Nghĩa,True,19
Trương Trọng Nghĩa,70,Đại biểu quốc hội Trương Trọng Nghĩa,True,27
Bùi Văn Nghiêm,56,Đại biểu quốc hội Bùi Văn Nghiêm,True,21
Hoàng Văn Nghiệm,54,Đại biểu quốc hội Hoàng Văn Nghiệm,True,15
Đặng Bích Ngọc,42,Đại biểu quốc hội Đặng Bích Ngọc,True,37
Nguyễn Thị Thúy Ngọc,40,Đại biểu quốc hội Nguyễn Thị Thúy Ngọc,True,29
Lại Thế Nguyên,53,Đại biểu quốc hội Lại Thế Nguyên,True,32
Trần Hồng Nguyên,54,Đại biểu quốc hội Trần Hồng Nguyên,True,46
Nguyễn Thị Thu Nguyệt,50,Đại biểu quốc hội Nguyễn Thị Thu Nguyệt,True,36
Quàng Thị Nguyệt,25,Đại biểu quốc hội Quàng Thị Nguyệt,True,50
Nguyễn Thiện Nhân,70,Đại biểu quốc hội Nguyễn Thiện Nhân,True,36
Phạm Trọng Nhân,51,Đại biểu quốc hội Phạm Trọng Nhân,True,23
Nguyễn Thị Yến Nhi,43,Đại biểu quốc hội Nguyễn Thị Yến Nhi,True,39
K` Nhiễu,50,Đại biểu quốc hội K` Nhiễu,True,54
Trần Thị Kim Nhung,50,Đại biểu quốc hội Trần Thị Kim Nhung,True,18
Trần Công Phàn,62,Đại biểu quốc hội Trần Công Phàn,True,42
Hồ Đức Phớc,59,Đại biểu quốc hội Hồ Đức Phớc,True,56
Đặng Thuần Phong,59,Đại biểu quốc hội Đặng Thuần Phong,True,45
Đặng Xuân Phong,51,Đại biểu quốc hội Đặng Xuân Phong,True,34
Đôn Tuấn Phong,52,Đại biểu quốc hội Đôn Tuấn Phong,True,39
Lê Quốc Phong,45,Đại biểu quốc hội Lê Quốc Phong,True,33
Lê Thanh Phong,55,Đại biểu quốc hội Lê Thanh Phong,True,17
Nguyễn Thanh Phong,47,Đại biểu quốc hội Nguyễn Thanh Phong,True,17
Dương Bình Phú,53,Đại biểu quốc hội Dương Bình Phú,True,30
Huỳnh Thị Phúc,47,Đại biểu quốc hội Huỳnh Thị Phúc,True,27
Nguyễn Xuân Phúc,68,Đại biểu quốc hội Nguyễn Xuân Phúc,True,42
Dương Văn Phước,56,Đại biểu quốc hội Dương Văn Phước,True,27
Trần Thị Thu Phước,46,Đại biểu quốc hội Trần Thị Thu Phước,True,26
Đặng Xuân Phương,48,Đại biểu quốc hội Đặng Xuân Phương,True,35
Huỳnh Thanh Phương,45,Đại biểu quốc hội Huỳnh Thanh Phương,True,25
Lò Việt Phương,50,Đại biểu quốc hội Lò Việt Phương,True,31
Nguyễn Thanh Phương,58,Đại biểu quốc hội Nguyễn Thanh Phương,True,13
Nguyễn Thị Mai Phương,52,Đại biểu quốc hội Nguyễn Thị Mai Phương,True,23
Phan Thị Thanh Phương,39,Đại biểu quốc hội Phan Thị Thanh Phương,True,34
Trần Quang Phương,62,Đại biểu quốc hội Trần Quang Phương,True,41
Hà Ánh Phượng,31,Đại biểu quốc hội Hà Ánh Phượng,True,56
Dương Tấn Quân,37,Đại biểu quốc hội Dương Tấn Quân,True,24
Lê Quân,48,Đại biểu quốc hội Lê Quân,True,32
Nguyễn Văn Quân,43,Đại biểu quốc hội Nguyễn Văn Quân,True,14
Trần Quốc Quân,35,Đại biểu quốc hội Trần Quốc Quân,True,23
